ibge_code,municipio,regiao_imediata_id,regiao_imediata_nome,regiao_intermediaria_id,regiao_intermediaria_nome
3304151,Quissamã,330014,Macaé - Rio das Ostras,3305,Macaé - Rio das Ostras - Cabo Frio
3304201,Resende,330005,Resende,3302,Volta Redonda - Barra Mansa
3304300,Rio Bonito,330003,Rio Bonito,3301,Rio de Janeiro
3304409,Rio Claro,330004,Volta Redonda - Barra Mansa,3302,Volta Redonda - Barra Mansa
3304508,Rio das Flores,330006,Valença,3302,Volta Redonda - Barra Mansa
3304524,Rio das Ostras,330014,Macaé - Rio das Ostras,3305,Macaé - Rio das Ostras - Cabo Frio
3304557,Rio de Janeiro,330001,Rio de Janeiro,3301,Rio de Janeiro
3304607,Santa Maria Madalena,330008,Nova Friburgo,3303,Petrópolis
3304706,Santo Antônio de Pádua,330012,Santo Antônio de Pádua,3304,Campos dos Goytacazes
3304755,São Francisco de Itabapoana,330010,Campos dos Goytacazes,3304,Campos dos Goytacazes
3304805,São Fidélis,330010,Campos dos Goytacazes,3304,Campos dos Goytacazes
3304904,São Gonçalo,330001,Rio de Janeiro,3301,Rio de Janeiro
3305000,São João da Barra,330010,Campos dos Goytacazes,3304,Campos dos Goytacazes
3305109,São João de Meriti,330001,Rio de Janeiro,3301,Rio de Janeiro
3305133,São José de Ubá,330011,Itaperuna,3304,Campos dos Goytacazes
3305158,São José do Vale do Rio Preto,330007,Petrópolis,3303,Petrópolis
3305208,São Pedro da Aldeia,330013,Cabo Frio,3305,Macaé - Rio das Ostras - Cabo Frio
3305307,São Sebastião do Alto,330008,Nova Friburgo,3303,Petrópolis
3305406,Sapucaia,330009,Três Rios - Paraíba do Sul,3303,Petrópolis
3305505,Saquarema,330001,Rio de Janeiro,3301,Rio de Janeiro
3305554,Seropédica,330001,Rio de Janeiro,3301,Rio de Janeiro
3305604,Silva Jardim,330003,Rio Bonito,3301,Rio de Janeiro
3305703,Sumidouro,330008,Nova Friburgo,3303,Petrópolis
3305752,Tanguá,330001,Rio de Janeiro,3301,Rio de Janeiro
3305802,Teresópolis,330007,Petrópolis,3303,Petrópolis
3305901,Trajano de Moraes,330008,Nova Friburgo,3303,Petrópolis
3306008,Três Rios,330009,Três Rios - Paraíba do Sul,3303,Petrópolis
3306107,Valença,330006,Valença,3302,Volta Redonda - Barra Mansa
3306156,Varre-Sai,330011,Itaperuna,3304,Campos dos Goytacazes
3306206,Vassouras,330006,Valença,3302,Volta Redonda - Barra Mansa
3306305,Volta Redonda,330004,Volta Redonda - Barra Mansa,3302,Volta Redonda - Barra Mansa
